"Index" "MMM" "AXP" "AAPL" "BA" "CAT" "CVX" "CSCO" "KO" "DIS" "DWDP" "XOM" "GE" "HD" "IBM" "INTC" "JNJ" "JPM" "MCD" "MRK" "MSFT" "NKE" "PFE" "PG" "TRV" "UTX" "UNH" "VZ" "WMT"
1995-04-28 13.184774 6.290763 0.716759 16.697861 5.659544 7.783617 1.802239 5.825408 13.426456 6.749781 6.387292 3.489244 6.032119 14.767976 4.075825 8.372602 5.804664 10.422944 9.039986 3.738265 0.37358 2.723361 7.838433 11.599738 3.625996 3.874887 7.101141 8.014588
1995-05-31 13.473212 6.426535 0.844229 18.038658 5.828848 8.225663 1.977378 6.176187 13.456766 7.13966 6.848475 3.61386 6.01406 14.670013 4.468974 8.690002 6.412939 11.321338 9.909729 3.872591 0.38455 2.98342 8.062791 12.294511 3.973579 3.9681 7.214884 8.39423
1995-06-30 12.883762 6.381279 0.943251 19.187613 6.215826 7.765193 2.285284 6.483863 13.456766 7.228829 6.776507 3.673922 5.920192 15.143246 5.041278 8.870705 6.569354 11.694983 10.490993 4.132669 0.506138 3.118838 8.062791 12.294524 4.091412 4.407519 7.279883 9.062674
1995-07-31 12.715343 7.126073 0.914052 20.52807 6.9399 8.267523 2.519745 6.674562 14.285575 7.455122 6.956418 3.844991 6.392354 17.174168 5.199852 9.429229 7.413009 11.545527 11.024885 4.138385 0.54455 3.427758 7.908322 12.169712 4.399084 4.793677 7.652293 9.020323
1995-08-31 12.478056 7.473121 0.94553 19.758873 6.61941 8.269272 2.966068 6.534715 13.706841 7.442548 6.888165 3.836844 5.811231 16.457747 4.909859 9.241475 8.364311 10.951036 10.65116 4.229839 0.558107 3.447731 7.965722 13.542702 4.586047 4.500729 7.953041 8.333726
1995-09-29 12.877807 8.213495 0.819093 21.070993 5.608622 8.333372 3.118609 7.114707 13.980985 7.724575 7.238833 4.319862 5.824522 15.044813 4.80986 9.927892 8.741242 11.476087 12.123256 4.138385 0.732877 3.727042 8.84124 14.788538 4.861072 5.206465 8.203658 8.418766
1995-10-31 12.992028 7.657118 0.798478 20.221973 5.752683 7.991492 3.502784 7.41115 14.111041 7.115421 7.652124 4.285981 5.441091 15.482627 5.616319 10.915655 8.443173 12.301167 12.447983 4.572801 0.746891 4.006353 9.490332 12.856839 4.881698 5.659202 8.708125 7.355789
1995-11-30 15.15368 8.010525 0.918208 22.661318 6.22151 8.61837 3.802216 7.902977 14.723237 7.348716 8.068207 4.548561 6.481837 15.540496 4.892926 11.793374 8.907084 13.429921 13.395111 3.984052 0.765028 4.274708 10.134737 14.18686 5.428336 6.697832 8.639556 8.197107
1995-12-29 15.385481 7.798483 0.767682 24.371616 5.955419 9.142017 3.372844 7.746479 14.483922 7.524035 8.45923 5.073121 7.045768 14.696121 4.561372 11.640215 8.721521 13.580397 14.361031 4.012632 0.956136 4.643217 9.724663 14.29471 5.493477 6.964146 9.170959 7.599401
1996-01-31 14.950865 8.83438 0.665325 24.099524 6.698481 9.054741 3.762669 7.863853 15.806237 7.979231 8.367991 5.407806 6.787545 17.450382 4.465799 13.069716 10.206903 15.12277 15.345783 4.229839 0.957853 5.048579 10.022513 14.648055 5.942219 6.684515 9.662041 6.959002
